reading_id,shipment_id,sensor_device_id,captured_at_utc,temperature_c,humidity_pct,battery_pct,latitude,longitude
RD0000408,SHP00004,SNS0004,2026-08-22 02:00:00,4.44,50.5,75.9,18.5123,74.747
RD0000409,SHP00004,SNS0004,2026-08-22 04:00:00,3.48,57.1,74.4,18.6532,74.2795
RD0000410,SHP00004,SNS0004,2026-08-22 06:00:00,3.53,51.7,72.4,18.7942,73.812
RD0000411,SHP00004,SNS0004,2026-08-22 08:00:00,4.65,54.1,68.8,18.9351,73.3445
RD0000500,SHP00005,SNS0005,2026-08-21 17:00:00,2.3,52.7,96.8,13.083,80.271
RD0000501,SHP00005,SNS0005,2026-08-21 19:00:00,1.82,49.2,92.9,13.5361,79.7365
RD0000502,SHP00005,SNS0005,2026-08-21 21:00:00,1.65,42.3,93.0,13.9892,79.202
RD0000503,SHP00005,SNS0005,2026-08-21 23:00:00,2.08,42.1,89.0,14.4422,78.6675
RD0000504,SHP00005,SNS0005,2026-08-22 01:00:00,2.29,43.1,88.2,14.8953,78.133
RD0000505,SHP00005,SNS0005,2026-08-22 03:00:00,8.0,46.5,84.5,15.3484,77.5985
RD0000506,SHP00005,SNS0005,2026-08-22 05:00:00,8.31,56.1,81.4,15.8015,77.064
RD0000507,SHP00005,SNS0005,2026-08-22 07:00:00,7.86,48.5,79.8,16.2546,76.5295
RD0000508,SHP00005,SNS0005,2026-08-22 09:00:00,1.43,47.7,76.8,16.7077,75.995
RD0000509,SHP00005,SNS0005,2026-08-22 11:00:00,1.88,42.9,73.8,17.1608,75.4605
RD0000510,SHP00005,SNS0005,2026-08-22 13:00:00,2.21,43.0,72.1,17.6138,74.926
RD0000511,SHP00005,SNS0005,2026-08-22 15:00:00,2.32,43.7,69.2,18.0669,74.3915
RD0000600,SHP00006,SNS0006,2026-08-22 00:00:00,16.07,48.8,96.7,28.614,77.209
RD0000601,SHP00006,SNS0006,2026-08-22 02:00:00,16.19,56.8,94.9,27.3105,77.2412
RD0000602,SHP00006,SNS0006,2026-08-22 04:00:00,16.42,50.8,90.6,26.007,77.2733
RD0000603,SHP00006,SNS0006,2026-08-22 06:00:00,15.87,55.4,87.8,24.7035,77.3055
RD0000604,SHP00006,SNS0006,2026-08-22 08:00:00,17.16,55.6,85.6,23.4,77.3377
RD0000605,SHP00006,SNS0006,2026-08-22 10:00:00,16.03,45.4,84.5,22.0965,77.3698
RD0000606,SHP00006,SNS0006,2026-08-22 12:00:00,16.36,48.1,83.4,20.793,77.402
RD0000607,SHP00006,SNS0006,2026-08-22 14:00:00,17.18,54.5,80.4,19.4895,77.4342
RD0000608,SHP00006,SNS0006,2026-08-22 16:00:00,16.44,57.3,77.5,18.186,77.4663
RD0000609,SHP00006,SNS0006,2026-08-22 18:00:00,17.19,53.5,74.7,16.8825,77.4985
RD0000610,SHP00006,SNS0006,2026-08-22 20:00:00,16.02,57.5,73.1,15.579,77.5307
RD0000611,SHP00006,SNS0006,2026-08-22 22:00:00,16.61,54.0,70.0,14.2755,77.5628
RD0000700,SHP00007,SNS0007,2026-08-22 07:00:00,-15.62,50.0,96.2,19.076,72.877
RD0000701,SHP00007,SNS0007,2026-08-22 09:00:00,-14.51,57.4,95.1,18.9351,73.3445
RD0000702,SHP00007,SNS0007,2026-08-22 11:00:00,-15.59,51.5,92.6,18.7942,73.812
RD0000703,SHP00007,SNS0007,2026-08-22 13:00:00,-14.75,43.9,90.1,18.6532,74.2795
RD0000704,SHP00007,SNS0007,2026-08-22 15:00:00,-14.45,51.5,87.7,18.5123,74.747
RD0000705,SHP00007,SNS0007,2026-08-22 17:00:00,-14.83,51.3,84.7,18.3714,75.2145
RD0000706,SHP00007,SNS0007,2026-08-22 19:00:00,-14.97,45.3,80.8,18.2305,75.682
RD0000707,SHP00007,SNS0007,2026-08-22 21:00:00,-14.7,48.3,80.5,18.0896,76.1495
RD0000708,SHP00007,SNS0007,2026-08-22 23:00:00,-14.76,47.1,77.9,17.9487,76.617
RD0000709,SHP00007,SNS0007,2026-08-23 01:00:00,-14.65,49.3,76.2,17.8078,77.0845
RD0000710,SHP00007,SNS0007,2026-08-23 03:00:00,-14.3,43.2,71.0,17.6668,77.552
RD0000711,SHP00007,SNS0007,2026-08-23 05:00:00,-15.4,56.9,70.8,17.5259,78.0195
RD0000800,SHP00008,SNS0008,2026-08-22 14:00:00,5.53,44.5,96.9,18.52,73.857
RD0000801,SHP00008,SNS0008,2026-08-22 16:00:00,5.47,51.8,93.5,18.0669,74.3915
RD0000802,SHP00008,SNS0008,2026-08-22 18:00:00,5.68,42.1,91.2,17.6138,74.926
RD0000803,SHP00008,SNS0008,2026-08-22 20:00:00,5.44,52.6,89.9,17.1608,75.4605
RD0000804,SHP00008,SNS0008,2026-08-22 22:00:00,5.61,43.8,88.0,16.7077,75.995
RD0000805,SHP00008,SNS0008,2026-08-23 00:00:00,4.45,46.4,84.3,16.2546,76.5295
RD0000806,SHP00008,SNS0008,2026-08-23 02:00:00,5.15,45.3,81.4,15.8015,77.064
RD0000807,SHP00008,SNS0008,2026-08-23 04:00:00,5.19,49.8,80.4,15.3484,77.5985
RD0000808,SHP00008,SNS0008,2026-08-23 06:00:00,5.57,43.5,76.3,14.8953,78.133
RD0000809,SHP00008,SNS0008,2026-08-23 08:00:00,4.89,42.1,75.6,14.4423,78.6675
RD0000810,SHP00008,SNS0008,2026-08-23 10:00:00,5.38,46.2,72.1,13.9892,79.202
RD0000811,SHP00008,SNS0008,2026-08-23 12:00:00,5.34,48.8,69.9,13.5361,79.7365
RD0000900,SHP00009,SNS0009,2026-08-22 21:00:00,4.46,53.1,95.2,12.972,77.595
RD0000901,SHP00009,SNS0009,2026-08-22 23:00:00,4.51,47.9,95.5,14.2755,77.5628
RD0000902,SHP00009,SNS0009,2026-08-23 01:00:00,5.07,42.7,91.9,15.579,77.5307
RD0000903,SHP00009,SNS0009,2026-08-23 03:00:00,4.81,57.6,88.0,16.8825,77.4985
RD0000904,SHP00009,SNS0009,2026-08-23 05:00:00,4.36,52.9,87.3,18.186,77.4663
RD0000905,SHP00009,SNS0009,2026-08-23 07:00:00,5.23,51.0,84.9,19.4895,77.4342
RD0000906,SHP00009,SNS0009,2026-08-23 09:00:00,5.52,54.0,80.7,20.793,77.402
RD0000907,SHP00009,SNS0009,2026-08-23 11:00:00,5.6,44.6,80.5,22.0965,77.3698
RD0000908,SHP00009,SNS0009,2026-08-23 13:00:00,5.42,48.6,78.3,23.4,77.3377
RD0000909,SHP00009,SNS0009,2026-08-23 15:00:00,4.55,54.5,73.6,24.7035,77.3055
RD0000910,SHP00009,SNS0009,2026-08-23 17:00:00,4.88,53.8,72.0,26.007,77.2733
RD0000911,SHP00009,SNS0009,2026-08-23 19:00:00,4.65,53.2,71.1,27.3105,77.2412
RD0001000,SHP00010,SNS0010,2026-08-23 04:00:00,5.52,45.6,95.4,17.385,78.487
RD0001001,SHP00010,SNS0010,2026-08-23 06:00:00,5.44,46.9,94.2,17.5259,78.0195
RD0001002,SHP00010,SNS0010,2026-08-23 08:00:00,5.41,42.4,92.5,17.6668,77.552
RD0001003,SHP00010,SNS0010,2026-08-23 10:00:00,4.57,55.8,89.8,17.8078,77.0845
RD0001004,SHP00010,SNS0010,2026-08-23 12:00:00,5.65,52.3,87.6,17.9487,76.617
RD0001005,SHP00010,SNS0010,2026-08-23 14:00:00,4.86,50.6,83.1,18.0896,76.1495
RD0001006,SHP00010,SNS0010,2026-08-23 16:00:00,5.61,57.5,83.3,18.2305,75.682
RD0001007,SHP00010,SNS0010,2026-08-23 18:00:00,4.55,46.2,78.3,18.3714,75.2145
RD0001008,SHP00010,SNS0010,2026-08-23 20:00:00,4.45,53.7,77.5,18.5123,74.747
RD0001009,SHP00010,SNS0010,2026-08-23 22:00:00,4.74,50.2,74.6,18.6532,74.2795
RD0001010,SHP00010,SNS0010,2026-08-24 00:00:00,4.84,46.1,72.3,18.7942,73.812
RD0001011,SHP00010,SNS0010,2026-08-24 02:00:00,5.29,56.8,71.6,18.9351,73.3445
RD0001100,SHP00011,SNS0011,2026-08-23 11:00:00,-23.74,53.8,95.2,13.083,80.271
RD0001101,SHP00011,SNS0011,2026-08-23 13:00:00,-24.42,57.2,94.3,13.5361,79.7365
RD0001102,SHP00011,SNS0011,2026-08-23 15:00:00,-23.41,52.6,91.3,13.9892,79.202
RD0001103,SHP00011,SNS0011,2026-08-23 17:00:00,-24.53,50.1,88.1,14.4422,78.6675
RD0001104,SHP00011,SNS0011,2026-08-23 19:00:00,-23.77,53.2,87.4,14.8953,78.133
RD0001105,SHP00011,SNS0011,2026-08-23 21:00:00,-23.92,52.6,85.4,15.3484,77.5985
RD0001106,SHP00011,SNS0011,2026-08-23 23:00:00,-24.17,44.8,81.4,15.8015,77.064
RD0001107,SHP00011,SNS0011,2026-08-24 01:00:00,-23.9,55.3,80.0,16.2546,76.5295
RD0001108,SHP00011,SNS0011,2026-08-24 03:00:00,-24.27,54.6,78.2,16.7077,75.995
RD0001109,SHP00011,SNS0011,2026-08-24 05:00:00,-23.85,49.1,75.4,17.1608,75.4605
RD0001110,SHP00011,SNS0011,2026-08-24 07:00:00,-23.75,54.7,72.5,17.6138,74.926
RD0001111,SHP00011,SNS0011,2026-08-24 09:00:00,-23.36,52.5,69.4,18.0669,74.3915
RD0001200,SHP00012,SNS0012,2026-08-23 18:00:00,4.02,47.4,96.1,28.614,77.209
RD0001201,SHP00012,SNS0012,2026-08-23 20:00:00,4.45,52.8,93.3,27.3105,77.2412
RD0001202,SHP00012,SNS0012,2026-08-23 22:00:00,3.61,42.4,92.6,26.007,77.2733
RD0001203,SHP00012,SNS0012,2026-08-24 00:00:00,3.64,55.6,89.4,24.7035,77.3055
RD0001204,SHP00012,SNS0012,2026-08-24 02:00:00,3.4,52.1,87.2,23.4,77.3377
RD0001205,SHP00012,SNS0012,2026-08-24 04:00:00,10.54,45.9,84.5,22.0965,77.3698
RD0001206,SHP00012,SNS0012,2026-08-24 06:00:00,9.51,54.3,81.3,20.793,77.402
RD0001207,SHP00012,SNS0012,2026-08-24 08:00:00,10.14,57.3,80.7,19.4895,77.4342
RD0001208,SHP00012,SNS0012,2026-08-24 10:00:00,4.03,46.0,78.6,18.186,77.4663
RD0001209,SHP00012,SNS0012,2026-08-24 12:00:00,4.49,54.8,75.0,16.8825,77.4985
RD0001210,SHP00012,SNS0012,2026-08-24 14:00:00,4.23,51.5,71.0,15.579,77.5307
RD0001211,SHP00012,SNS0012,2026-08-24 16:00:00,4.63,51.8,68.9,14.2755,77.5628
RD0001300,SHP00013,SNS0013,2026-08-24 01:00:00,1.9,49.1,95.3,19.076,72.877
RD0001301,SHP00013,SNS0013,2026-08-24 03:00:00,1.52,49.2,93.0,18.9351,73.3445
RD0001302,SHP00013,SNS0013,2026-08-24 05:00:00,2.35,46.4,90.7,18.7942,73.812
RD0001303,SHP00013,SNS0013,2026-08-24 07:00:00,2.39,45.8,89.3,18.6532,74.2795
RD0001304,SHP00013,SNS0013,2026-08-24 09:00:00,1.92,45.8,86.3,18.5123,74.747
RD0001305,SHP00013,SNS0013,2026-08-24 11:00:00,1.77,43.3,83.3,18.3714,75.2145
RD0001306,SHP00013,SNS0013,2026-08-24 13:00:00,1.51,44.4,82.5,18.2305,75.682
RD0001307,SHP00013,SNS0013,2026-08-24 15:00:00,1.6,47.3,80.0,18.0896,76.1495
RD0001308,SHP00013,SNS0013,2026-08-24 17:00:00,1.95,55.3,78.6,17.9487,76.617
RD0001309,SHP00013,SNS0013,2026-08-24 19:00:00,1.85,57.1,74.1,17.8078,77.0845
RD0001310,SHP00013,SNS0013,2026-08-24 21:00:00,1.33,51.2,71.4,17.6668,77.552
RD0001311,SHP00013,SNS0013,2026-08-24 23:00:00,1.97,46.8,68.8,17.5259,78.0195
RD0001400,SHP00014,SNS0014,2026-08-24 08:00:00,16.35,55.4,95.3,18.52,73.857
RD0001401,SHP00014,SNS0014,2026-08-24 10:00:00,16.55,54.8,93.4,18.0669,74.3915
RD0001402,SHP00014,SNS0014,2026-08-24 12:00:00,17.06,46.4,91.7,17.6138,74.926
RD0001403,SHP00014,SNS0014,2026-08-24 14:00:00,16.48,52.7,89.6,17.1608,75.4605
RD0001404,SHP00014,SNS0014,2026-08-24 16:00:00,16.92,55.4,86.2,16.7077,75.995
RD0001405,SHP00014,SNS0014,2026-08-24 18:00:00,17.09,50.5,83.1,16.2546,76.5295
RD0001406,SHP00014,SNS0014,2026-08-24 20:00:00,17.07,52.6,81.8,15.8015,77.064
RD0001407,SHP00014,SNS0014,2026-08-24 22:00:00,15.92,55.9,79.9,15.3484,77.5985
RD0001408,SHP00014,SNS0014,2026-08-25 00:00:00,16.05,47.2,78.0,14.8953,78.133
RD0001409,SHP00014,SNS0014,2026-08-25 02:00:00,16.44,56.1,75.4,14.4423,78.6675
RD0001410,SHP00014,SNS0014,2026-08-25 04:00:00,16.19,48.7,71.1,13.9892,79.202
RD0001411,SHP00014,SNS0014,2026-08-25 06:00:00,16.97,54.0,70.2,13.5361,79.7365
RD0001500,SHP00015,SNS0015,2026-08-24 15:00:00,-14.3,52.4,97.0,12.972,77.595
RD0001501,SHP00015,SNS0015,2026-08-24 17:00:00,-14.61,54.1,93.6,14.2755,77.5628
RD0001502,SHP00015,SNS0015,2026-08-24 19:00:00,-14.37,42.3,92.6,15.579,77.5307
RD0001503,SHP00015,SNS0015,2026-08-24 21:00:00,-15.49,52.7,90.4,16.8825,77.4985
RD0001504,SHP00015,SNS0015,2026-08-24 23:00:00,-14.91,53.2,87.7,18.186,77.4663
RD0001505,SHP00015,SNS0015,2026-08-25 01:00:00,-14.63,51.7,85.5,19.4895,77.4342
RD0001506,SHP00015,SNS0015,2026-08-25 03:00:00,-14.65,55.1,83.3,20.793,77.402
RD0001507,SHP00015,SNS0015,2026-08-25 05:00:00,-14.35,42.4,80.9,22.0965,77.3698
RD0001508,SHP00015,SNS0015,2026-08-25 07:00:00,-15.26,57.3,76.8,23.4,77.3377
RD0001509,SHP00015,SNS0015,2026-08-25 09:00:00,-15.14,43.2,74.3,24.7035,77.3055
RD0001510,SHP00015,SNS0015,2026-08-25 11:00:00,-14.73,43.6,72.1,26.007,77.2733
RD0001511,SHP00015,SNS0015,2026-08-25 13:00:00,-14.62,51.6,69.0,27.3105,77.2412
RD0001600,SHP00016,SNS0016,2026-08-24 22:00:00,5.41,42.7,96.3,17.385,78.487
RD0001601,SHP00016,SNS0016,2026-08-25 00:00:00,5.05,43.1,93.6,17.5259,78.0195
RD0001602,SHP00016,SNS0016,2026-08-25 02:00:00,5.21,48.7,93.2,17.6668,77.552
RD0001603,SHP00016,SNS0016,2026-08-25 04:00:00,4.99,47.8,89.5,17.8078,77.0845
RD0001604,SHP00016,SNS0016,2026-08-25 06:00:00,5.55,44.4,87.0,17.9487,76.617
RD0001605,SHP00016,SNS0016,2026-08-25 08:00:00,4.55,52.4,84.4,18.0896,76.1495
RD0001606,SHP00016,SNS0016,2026-08-25 10:00:00,5.16,54.4,80.8,18.2305,75.682
RD0001607,SHP00016,SNS0016,2026-08-25 12:00:00,4.95,51.5,78.7,18.3714,75.2145
RD0001608,SHP00016,SNS0016,2026-08-25 14:00:00,4.75,57.0,78.1,18.5123,74.747
RD0001609,SHP00016,SNS0016,2026-08-25 16:00:00,4.69,54.0,75.0,18.6532,74.2795
RD0001610,SHP00016,SNS0016,2026-08-25 18:00:00,5.1,47.4,72.0,18.7942,73.812
RD0001611,SHP00016,SNS0016,2026-08-25 20:00:00,4.99,49.8,70.6,18.9351,73.3445
RD0001700,SHP00017,SNS0017,2026-08-25 05:00:00,5.42,56.1,97.0,13.083,80.271
RD0001701,SHP00017,SNS0017,2026-08-25 07:00:00,5.28,42.2,94.8,13.5361,79.7365
RD0001702,SHP00017,SNS0017,2026-08-25 09:00:00,5.63,53.5,92.9,13.9892,79.202
RD0001703,SHP00017,SNS0017,2026-08-25 11:00:00,4.98,53.0,88.5,14.4422,78.6675
RD0001704,SHP00017,SNS0017,2026-08-25 13:00:00,5.2,54.7,86.9,14.8953,78.133
RD0001705,SHP00017,SNS0017,2026-08-25 15:00:00,4.43,53.1,85.3,15.3484,77.5985
RD0001706,SHP00017,SNS0017,2026-08-25 17:00:00,4.73,49.6,81.9,15.8015,77.064
RD0001707,SHP00017,SNS0017,2026-08-25 19:00:00,5.04,53.9,79.9,16.2546,76.5295
RD0001708,SHP00017,SNS0017,2026-08-25 21:00:00,4.76,46.3,76.7,16.7077,75.995
RD0001709,SHP00017,SNS0017,2026-08-25 23:00:00,4.65,45.1,76.0,17.1608,75.4605
RD0001710,SHP00017,SNS0017,2026-08-26 01:00:00,4.47,54.2,72.4,17.6138,74.926
RD0001711,SHP00017,SNS0017,2026-08-26 03:00:00,4.56,49.7,71.0,18.0669,74.3915
RD0001800,SHP00018,SNS0018,2026-08-25 12:00:00,5.67,46.5,96.4,28.614,77.209
RD0001801,SHP00018,SNS0018,2026-08-25 14:00:00,4.44,45.6,95.0,27.3105,77.2412
RD0001802,SHP00018,SNS0018,2026-08-25 16:00:00,4.55,50.5,93.2,26.007,77.2733
RD0001803,SHP00018,SNS0018,2026-08-25 18:00:00,4.68,50.9,87.9,24.7035,77.3055
RD0001804,SHP00018,SNS0018,2026-08-25 20:00:00,5.28,55.9,88.0,23.4,77.3377
RD0001805,SHP00018,SNS0018,2026-08-25 22:00:00,4.99,51.2,83.4,22.0965,77.3698
RD0001806,SHP00018,SNS0018,2026-08-26 00:00:00,4.96,44.9,82.3,20.793,77.402
RD0001807,SHP00018,SNS0018,2026-08-26 02:00:00,4.37,49.6,78.4,19.4895,77.4342
RD0001808,SHP00018,SNS0018,2026-08-26 04:00:00,5.45,43.2,77.6,18.186,77.4663
RD0001809,SHP00018,SNS0018,2026-08-26 06:00:00,5.18,44.4,76.2,16.8825,77.4985
RD0001810,SHP00018,SNS0018,2026-08-26 08:00:00,5.09,57.9,73.1,15.579,77.5307
RD0001811,SHP00018,SNS0018,2026-08-26 10:00:00,4.47,51.7,69.3,14.2755,77.5628
RD0001900,SHP00019,SNS0019,2026-08-25 19:00:00,-24.38,49.2,96.4,19.076,72.877
RD0001901,SHP00019,SNS0019,2026-08-25 21:00:00,-24.08,57.8,93.0,18.9351,73.3445
RD0001902,SHP00019,SNS0019,2026-08-25 23:00:00,-24.27,51.8,91.3,18.7942,73.812
RD0001903,SHP00019,SNS0019,2026-08-26 01:00:00,-23.66,45.3,88.0,18.6532,74.2795
RD0001904,SHP00019,SNS0019,2026-08-26 03:00:00,-24.4,44.5,86.4,18.5123,74.747
RD0001905,SHP00019,SNS0019,2026-08-26 05:00:00,-14.39,49.2,86.0,18.3714,75.2145
RD0001906,SHP00019,SNS0019,2026-08-26 07:00:00,-14.06,53.3,82.9,18.2305,75.682
RD0001907,SHP00019,SNS0019,2026-08-26 09:00:00,-13.82,56.8,79.1,18.0896,76.1495
RD0001908,SHP00019,SNS0019,2026-08-26 11:00:00,-23.6,52.6,76.9,17.9487,76.617
RD0001909,SHP00019,SNS0019,2026-08-26 13:00:00,-23.39,50.7,75.1,17.8078,77.0845
RD0001910,SHP00019,SNS0019,2026-08-26 15:00:00,-23.79,55.2,71.3,17.6668,77.552
RD0001911,SHP00019,SNS0019,2026-08-26 17:00:00,-24.6,46.9,71.1,17.5259,78.0195
RD0002000,SHP00020,SNS0020,2026-08-26 02:00:00,4.59,49.5,96.7,18.52,73.857
RD0002001,SHP00020,SNS0020,2026-08-26 04:00:00,3.73,46.4,94.4,18.0669,74.3915
RD0002002,SHP00020,SNS0020,2026-08-26 06:00:00,4.06,51.6,91.9,17.6138,74.926
RD0002003,SHP00020,SNS0020,2026-08-26 08:00:00,4.55,51.7,88.6,17.1608,75.4605
RD0002004,SHP00020,SNS0020,2026-08-26 10:00:00,3.34,52.8,87.7,16.7077,75.995
RD0002005,SHP00020,SNS0020,2026-08-26 12:00:00,4.5,42.3,84.2,16.2546,76.5295
RD0002006,SHP00020,SNS0020,2026-08-26 14:00:00,4.37,51.2,81.1,15.8015,77.064
RD0002007,SHP00020,SNS0020,2026-08-26 16:00:00,4.37,50.3,80.7,15.3484,77.5985
RD0002008,SHP00020,SNS0020,2026-08-26 18:00:00,3.92,58.0,78.0,14.8953,78.133
RD0002009,SHP00020,SNS0020,2026-08-26 20:00:00,3.91,57.5,74.0,14.4423,78.6675
RD0002010,SHP00020,SNS0020,2026-08-26 22:00:00,3.96,47.1,72.8,13.9892,79.202
RD0002011,SHP00020,SNS0020,2026-08-27 00:00:00,3.45,48.6,71.1,13.5361,79.7365
RD0002100,SHP00021,SNS0021,2026-08-26 09:00:00,1.99,48.4,96.0,12.972,77.595
RD0002101,SHP00021,SNS0021,2026-08-26 11:00:00,2.36,43.4,95.5,14.2755,77.5628
RD0002102,SHP00021,SNS0021,2026-08-26 13:00:00,1.65,54.4,92.9,15.579,77.5307
RD0002103,SHP00021,SNS0021,2026-08-26 15:00:00,2.51,42.0,88.3,16.8825,77.4985
RD0002104,SHP00021,SNS0021,2026-08-26 17:00:00,2.52,42.9,87.0,18.186,77.4663
RD0002105,SHP00021,SNS0021,2026-08-26 19:00:00,2.03,50.0,84.1,19.4895,77.4342
RD0002106,SHP00021,SNS0021,2026-08-26 21:00:00,1.92,46.3,83.4,20.793,77.402
RD0002107,SHP00021,SNS0021,2026-08-26 23:00:00,1.48,56.1,80.3,22.0965,77.3698
RD0002108,SHP00021,SNS0021,2026-08-27 01:00:00,1.98,52.1,78.7,23.4,77.3377
RD0002109,SHP00021,SNS0021,2026-08-27 03:00:00,2.42,47.0,74.3,24.7035,77.3055
RD0002110,SHP00021,SNS0021,2026-08-27 05:00:00,1.32,45.6,72.8,26.007,77.2733
RD0002111,SHP00021,SNS0021,2026-08-27 07:00:00,2.48,57.2,71.3,27.3105,77.2412
RD0002200,SHP00022,SNS0022,2026-08-26 16:00:00,16.5,50.1,95.9,17.385,78.487
RD0002201,SHP00022,SNS0022,2026-08-26 18:00:00,16.18,57.7,93.1,17.5259,78.0195
RD0002202,SHP00022,SNS0022,2026-08-26 20:00:00,16.14,48.1,91.5,17.6668,77.552
RD0002203,SHP00022,SNS0022,2026-08-26 22:00:00,17.09,56.1,89.3,17.8078,77.0845
RD0002204,SHP00022,SNS0022,2026-08-27 00:00:00,17.01,54.6,87.6,17.9487,76.617
RD0002205,SHP00022,SNS0022,2026-08-27 02:00:00,16.38,50.1,83.2,18.0896,76.1495
RD0002206,SHP00022,SNS0022,2026-08-27 04:00:00,16.95,46.8,82.8,18.2305,75.682
RD0002207,SHP00022,SNS0022,2026-08-27 06:00:00,16.62,49.8,78.2,18.3714,75.2145
RD0002208,SHP00022,SNS0022,2026-08-27 08:00:00,16.01,47.5,77.2,18.5123,74.747
RD0002209,SHP00022,SNS0022,2026-08-27 10:00:00,16.57,49.3,74.8,18.6532,74.2795
RD0002210,SHP00022,SNS0022,2026-08-27 12:00:00,16.25,53.2,73.4,18.7942,73.812
RD0002211,SHP00022,SNS0022,2026-08-27 14:00:00,16.6,54.4,70.9,18.9351,73.3445
